"country_name (S)","date (S)","cancel_public_events (S)","cancel_public_events_notes (NULL)","close_public_transit (S)","close_public_transit_notes (NULL)","confirmed_cases (N)","contact_tracing (S)","contact_tracing_notes (NULL)","international_travel_controls (N)","international_travel_controls_notes (NULL)","region_name (NULL)","restrictions_on_gatherings (S)","restrictions_on_gatherings_notes (NULL)","school_closing_notes (NULL)","stay_at_home_requirements (S)","stay_at_home_requirements_notes (NULL)","workplace_closing (S)","workplace_closing_notes (NULL)"
"China","2020-02-03","2.00","true","2.00","true","19693","2.00","true","425","true","true","4.00","true","true","3.00","true","3.00","Workplace shall not resume operation before midnight of 9 February in most provinces including Beijing, Guangdong, Jiangsu, Zhejiang, Shanghai, Ningxia, Shangdong, Shanxi, Inner Mongolia, Anhui, Yunnan, Heilongjiang, Liaoning, Hebei, Henan, Hunan, Jiangxi, Guangxi, Hainan, Fujian, Chongqing, Guizhou.   Resumption of individual workplace can be subject to further local approval.    Source: http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200131_1622070.html?from=singlemessage ; http://www.gov.cn/xinwen/2020-01/29/content_5472946.htm ; http://www.gd.gov.cn/gdywdt/gdyw/content/post_2879851.html ; http://www.jiangsu.gov.cn/art/2020/1/29/art_60095_8957083.html ; http://www.zj.gov.cn/art/2020/1/27/art_1554467_41858317.html ; http://www.gov.cn/xinwen/2020-02/02/content_5473879.htm ; https://www.sohu.com/a/375224930_213270"
"China","2020-02-04","2.00","true","2.00","true","23680","2.00","true","490","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-02-05","2.00","true","2.00","true","27409","2.00","true","562","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-02-06","2.00","true","2.00","true","30553","2.00","true","632","true","true","4.00","true","true","3.00","Hongshan District of Wuhan restricts residents from leaving homes.  Each household is allowed to send one member to go out to buy groceries once every three days only.  https://web.archive.org/web/20200510204249/http://www.wuhan.com/xinwen/38455.html","3.00","true"
"China","2020-02-07","2.00","true","2.00","true","34075","2.00","true","717","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-02-08","2.00","true","2.00","recover in inter-city transportation other than Hubei https://www.sohu.com/a/371562713_180330","36778","2.00","true","804","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-02-09","2.00","true","2.00","true","39790","2.00","true","904","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-02-10","2.00","true","2.00","true","42306","2.00","true","1011","true","true","4.00","true","true","3.00","true","3.00","Workplace shall not resume operation before midnight of 9 February in most provinces including Beijing, Guangdong, Jiangsu, Zhejiang, Shanghai, Ningxia, Shangdong, Shanxi, Inner Mongolia, Anhui, Yunnan, Heilongjiang, Liaoning, Hebei, Henan, Hunan, Jiangxi, Guangxi, Hainan, Fujian, Chongqing, Guizhou.   Resumption of individual workplace can be subject to further local approval.    Source: http://www.beijing.gov.cn/zhengce/zhengcefagui/202001/t20200131_1622070.html?from=singlemessage ; http://www.gov.cn/xinwen/2020-01/29/content_5472946.htm ; http://www.gd.gov.cn/gdywdt/gdyw/content/post_2879851.html ; http://www.jiangsu.gov.cn/art/2020/1/29/art_60095_8957083.html ; http://www.zj.gov.cn/art/2020/1/27/art_1554467_41858317.html ; http://www.gov.cn/xinwen/2020-02/02/content_5473879.htm ; https://www.sohu.com/a/375224930_213270"
"China","2020-02-11","2.00","Wuhan implements strict management of residential quarters and restricts residents from going out.  Source: https://web.archive.org/web/20200430223036/http://www.wuhan.gov.cn/zwgk/tzgg/202003/t20200316_972539.shtml","2.00","true","44327","2.00","true","1111","true","true","4.00","Wuhan implements strict management of residential quarters and restricts residents from going out.  Source: https://web.archive.org/web/20200430223036/http://www.wuhan.gov.cn/zwgk/tzgg/202003/t20200316_972539.shtml","true","3.00","Wuhan implements strict management of residential quarters and restricts residents from going out.  Source: https://web.archive.org/web/20200430223036/http://www.wuhan.gov.cn/zwgk/tzgg/202003/t20200316_972539.shtml","3.00","true"
"China","2020-02-12","2.00","true","2.00","true","44699","2.00","true","1116","true","true","4.00","true","On 12 Feb 2020, China's Minister of Education CLEARLY requires schools of all levels and universities in the mainland China to postpone the starting date of the second term of the 2019/20 academic year.  https://archive.vn/acntE","3.00","true","3.00","true"
"China","2020-02-13","2.00","true","2.00","true","59832","2.00","true","1368","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-02-14","2.00","true","2.00","true","66292","2.00","true","1520","true","true","4.00","true","true","3.00","true","3.00","true"
